id,label,site_index,url,domain,is_shortener,had_query_params,query_redacted
benign_site_100,benign,100,https://tkktrading.com/,tkktrading.com,False,False,False
benign_site_101,benign,101,https://www.shopltk.com/explore/meghan_lanahan/posts/edbae59f-099f-11f0-a111-0242ac11000f,www.shopltk.com,False,False,False
benign_site_102,benign,102,https://campaign.rtm.com/realtimesocial/share.aspx?promotionId=10971,campaign.rtm.com,False,True,True
benign_site_103,benign,103,https://kingsumo.com/g/m88vovm/huge-clean-beauty-giveaway-over-1500/g8e86dz,kingsumo.com,False,False,False
benign_site_104,benign,104,https://line.me/R/ti/p/@143qtcom?from=page&searchId=143qtcom,line.me,False,True,False
benign_site_108,benign,108,https://www.celebratelit.com/unexpected-hope-celebration-tour/,www.celebratelit.com,False,False,False
benign_site_111,benign,111,https://careers.wellnow.com/us/en,careers.wellnow.com,False,False,False
benign_site_112,benign,112,https://linktr.ee/orderdesign99,linktr.ee,False,False,False
benign_site_114,benign,114,https://www.zocdoc.com/about/careers-list,www.zocdoc.com,False,False,False
benign_site_117,benign,117,https://www.tunespeak.com/campaign/683073fa8fc4c900011d723c,www.tunespeak.com,False,True,True
benign_site_12,benign,12,https://pausetake9.org/,pausetake9.org,False,False,False
benign_site_120,benign,120,https://access.org/,access.org,False,False,False
benign_site_121,benign,121,https://learnix.us/,learnix.us,False,False,False
benign_site_122,benign,122,https://www.redeemmichigan.com/,www.redeemmichigan.com,False,False,False
benign_site_125,benign,125,https://click.linksynergy.com/deeplink?id=8NJDRfEI9aI&mid=14063,click.linksynergy.com,False,True,True
benign_site_126,benign,126,https://www.jobsatamazon.co.uk/,www.jobsatamazon.co.uk,False,False,False
benign_site_128,benign,128,https://ul.ink/N68H5-WVCS,ul.ink,False,False,False
benign_site_129,benign,129,https://chfn.org/,chfn.org,False,False,False
benign_site_13,benign,13,https://bestwriting.com/,bestwriting.com,False,False,False
benign_site_130,benign,130,https://app.hive.co/shortlink/js-redirect,app.hive.co,False,True,True
benign_site_131,benign,131,https://www.thestudiocollective.online/,www.thestudiocollective.online,False,False,False
benign_site_134,benign,134,https://www.acquisition.com/,www.acquisition.com,False,False,False
benign_site_135,benign,135,https://playlistfm.com/home,playlistfm.com,False,False,False
benign_site_136,benign,136,https://locsbysyd.as.me/schedule/758716fa,locsbysyd.as.me,False,False,False
benign_site_137,benign,137,https://www.findmyclicker.com/,www.findmyclicker.com,False,False,False
benign_site_14,benign,14,https://joyshopbd.blogspot.com/2025/05/2025-acemagic-lx15pro-laptop-review.html,joyshopbd.blogspot.com,False,False,False
benign_site_141,benign,141,https://singingfiles.com/show.php?I=0&u=1864814&id=61312,singingfiles.com,False,True,False
benign_site_142,benign,142,https://biosites.com/,biosites.com,False,False,False
benign_site_143,benign,143,https://choob.cc/,choob.cc,False,False,False
benign_site_145,benign,145,https://sites.google.com/view/richie-games25/home,sites.google.com,False,False,False
benign_site_147,benign,147,https://ursupermart.com/products/replacement-amazon-fire-tv-remote,ursupermart.com,False,False,False
benign_site_148,benign,148,https://www.ttecjobs.com/en,www.ttecjobs.com,False,False,False
benign_site_149,benign,149,https://remotecoworker.com/,remotecoworker.com,False,False,False
benign_site_15,benign,15,https://www.mallofgame.com/,www.mallofgame.com,False,False,False
benign_site_150,benign,150,https://undercurrent.net/,undercurrent.net,False,False,False
benign_site_151,benign,151,https://list.ly/list/Ahrb-download-and-run-opera-gx-browser,list.ly,False,False,False
benign_site_153,benign,153,https://cash.app/help/gb/3122-verify-account,cash.app,False,False,False
benign_site_154,benign,154,https://mrshealthcare75.blogspot.com/2023/07/veniselle-health-product.html,mrshealthcare75.blogspot.com,False,False,False
